County,Clinton,Trump,Winner,Margin,ClintonPct,TrumpPct,PctMargin
ADAMS,14219,31423,Trump,17204,0.312,0.688,37.7
ALLEGHENY,367617,259480,Clinton,108137,0.586,0.414,17.2
ARMSTRONG,7178,23484,Trump,16306,0.234,0.766,53.2
BEAVER,32531,48167,Trump,15636,0.403,0.597,19.400000000000002
BEDFORD,3645,19552,Trump,15907,0.157,0.843,68.60000000000001
BERKS,78437,96626,Trump,18189,0.448,0.552,10.4
BLAIR,13958,39135,Trump,25177,0.263,0.737,47.4
BRADFORD,6369,18141,Trump,11772,0.26,0.74,48
BUCKS,167060,164361,Clinton,2699,0.504,0.496,0.8
BUTLER,28584,64428,Trump,35844,0.307,0.693,38.5
CAMBRIA,18867,42258,Trump,23391,0.309,0.691,38.3
CAMERON,531,1589,Trump,1058,0.25,0.75,49.9
CARBON,8936,18743,Trump,9807,0.323,0.677,35.4
CENTRE,37088,35274,Clinton,1814,0.513,0.487,2.5
CHESTER,141682,116114,Clinton,25568,0.55,0.45,9.9
CLARION,4273,12576,Trump,8303,0.254,0.746,49.3
CLEARFIELD,8200,24932,Trump,16732,0.247,0.753,50.5
CLINTON,4744,10022,Trump,5278,0.321,0.679,35.699999999999996
COLUMBIA,8934,18004,Trump,9070,0.332,0.668,33.7
CRAWFORD,10971,24987,Trump,14016,0.305,0.695,39
CUMBERLAND,47085,69076,Trump,21991,0.405,0.595,18.9
DAUPHIN,64706,60863,Clinton,3843,0.515,0.485,3.1
DELAWARE,177402,110667,Clinton,66735,0.616,0.384,23.200000000000003
ELK,3853,10025,Trump,6172,0.278,0.722,44.5
ERIE,58112,60069,Trump,1957,0.492,0.508,1.7000000000000002
FAYETTE,17946,34590,Trump,16644,0.342,0.658,31.7
FOREST,626,1683,Trump,1057,0.271,0.729,45.800000000000004
FRANKLIN,17465,49768,Trump,32303,0.26,0.74,48
FULTON,912,5694,Trump,4782,0.138,0.862,72.39999999999999
GREENE,4482,10849,Trump,6367,0.292,0.708,41.5
HUNTINGDON,4539,14494,Trump,9955,0.238,0.762,52.300000000000004
INDIANA,11528,24888,Trump,13360,0.317,0.683,36.7
JEFFERSON,3650,15192,Trump,11542,0.194,0.806,61.3
JUNIATA,1821,8273,Trump,6452,0.18,0.82,63.9
LACKAWANNA,51983,48384,Clinton,3599,0.518,0.482,3.5999999999999996
LANCASTER,91093,137914,Trump,46821,0.398,0.602,20.4
LAWRENCE,14009,25428,Trump,11419,0.355,0.645,28.999999999999996
LEBANON,18953,40525,Trump,21572,0.319,0.681,36.3
LEHIGH,81324,73690,Clinton,7634,0.525,0.475,4.9
LUZERNE,52451,78688,Trump,26237,0.4,0.6,20
LYCOMING,13020,35627,Trump,22607,0.268,0.732,46.5
McKEAN,4025,11635,Trump,7610,0.257,0.743,48.6
MERCER,18733,31544,Trump,12811,0.373,0.627,25.5
MIFFLIN,3877,14094,Trump,10217,0.216,0.784,56.89999999999999
MONROE,33918,33386,Clinton,532,0.504,0.496,0.8
MONTGOMERY,256082,162731,Clinton,93351,0.611,0.389,22.3
MONTOUR,2857,5288,Trump,2431,0.351,0.649,29.799999999999997
NORTHAMPTON,66272,71736,Trump,5464,0.48,0.52,4
NORTHUMBERLAND,9788,25427,Trump,15639,0.278,0.722,44.4
PERRY,4632,15616,Trump,10984,0.229,0.771,54.2
PHILADELPHIA,584025,108748,Clinton,475277,0.843,0.157,68.60000000000001
PIKE,9256,16056,Trump,6800,0.366,0.634,26.900000000000002
POTTER,1302,6251,Trump,4949,0.172,0.828,65.5
SCHUYLKILL,16770,44001,Trump,27231,0.276,0.724,44.800000000000004
SNYDER,4002,11725,Trump,7723,0.254,0.746,49.1
SOMERSET,7376,27379,Trump,20003,0.212,0.788,57.599999999999994
SULLIVAN,750,2291,Trump,1541,0.247,0.753,50.7
SUSQUEHANNA,5123,12891,Trump,7768,0.284,0.716,43.1
TIOGA,3901,13614,Trump,9713,0.223,0.777,55.50000000000001
UNION,6180,10622,Trump,4442,0.368,0.632,26.400000000000002
VENANGO,6309,16021,Trump,9712,0.283,0.717,43.5
WARREN,5145,12477,Trump,7332,0.292,0.708,41.6
WASHINGTON,36322,61386,Trump,25064,0.372,0.628,25.7
WAYNE,7008,16244,Trump,9236,0.301,0.699,39.7
WESTMORELAND,59669,116522,Trump,56853,0.339,0.661,32.300000000000004
WYOMING,3811,8837,Trump,5026,0.301,0.699,39.7
YORK,68524,128528,Trump,60004,0.348,0.652,30.5
